t,x,y
0.0,10.097561569993776,5.073727873353322
0.01,10.04276136653465,4.895261802442312
0.02,9.994489348000933,4.878789608243067
0.03,9.876602099324204,4.7566266051382105
0.04,9.832234391159506,4.611448070998415
0.05,9.77788914268642,4.544456723066814
0.06,9.687574430904391,4.401075984157241
0.07,9.678835824574481,4.211812599049781
0.08,9.569557411902903,4.189441073285796
0.09,9.528472595213085,4.138193282152738
0.1,9.500008180282737,3.989213037920179
0.11,9.466975456489996,3.8241942742519406
0.12,9.431326283745761,3.769481884538433
0.13,9.448264390049662,3.800879270800961
0.14,9.420602291181437,3.5713202280028815
0.15,9.364537189700396,3.432935001941975
0.16,9.316915463112224,3.4304489226911414
0.17,9.313959803434841,3.3688857377993413
0.18,9.350142915370403,3.2902590325585983
0.19,9.308240197494156,3.213345108647077
