t,x,y
0.0,10.096342354990663,5.060591810029983
0.01,10.055210441147409,4.853247727669786
0.02,10.021044068416225,4.887620126549022
0.03,9.879740498463375,4.76219428646492
0.04,9.846107754318025,4.600996543736924
0.05,9.794999902679669,4.555845378180863
0.06,9.68752305838048,4.3948911775539
0.07,9.700084141734203,4.163910071564495
0.08,9.559592755323482,4.182080491979996
0.09,9.519227606534047,4.155767517565532
0.1,9.49570311875386,3.981704583672093
0.11,9.463306161079824,3.7824507313809206
0.12,9.42503042883041,3.747541795081959
0.13,9.463743659382644,3.8407016496659807
0.14,9.433723234173948,3.541349976342025
0.15,9.359320210608344,3.377701303493517
0.16,9.29585625968379,3.416862902399841
0.17,9.297714545643839,3.3663897455410665
0.18,9.35665043367147,3.2893215982566426
0.19,9.296870696164364,3.2138422900784587
