t,x,y
0.0,8.870568799744499,4.339471922933168
0.01,8.94066810461349,4.133297276441839
0.02,10.016989704700123,4.197998101119555
0.03,9.523601003418856,4.08206377023158
0.04,9.743242003205813,4.0864843466586365
0.05,9.006165573235,3.7195798558878246
0.06,9.013541112428003,3.812701204987539
0.07,10.320649773855752,3.781968258001532
0.08,9.368077454687498,3.84490938207572
0.09,9.718231564401195,3.49345613475922
0.1,8.35189216465988,3.949030002526124
0.11,9.101477081434183,3.380735374532188
0.12,9.79199479751487,3.234427334743859
0.13,9.092050779046616,3.095074441742912
0.14,9.651403554223322,3.1464510263725973
0.15,9.261354263022664,3.326226172608259
0.16,9.1311430569178,3.504611297495395
0.17,9.154847831316252,2.8153993067881515
0.18,9.56303530071563,3.1490556616956398
0.19,9.616957978950792,2.8344476045721114
0.2,8.969400193259062,2.873991104361736
0.21,9.606822947159756,2.807947504385857
0.22,9.790487844342463,2.9027443192061173
0.23,9.495947053695884,2.589596247171053
0.24,8.381931988300854,2.6852456692602424
0.25,9.852196344237699,2.754265789394041
0.26,8.862109470666015,2.679425311727456
0.27,9.299999332729694,2.595134251500243
0.28,8.76645110971536,2.3025561084296013
0.29,9.224934179487365,2.6027901450285533
0.3,9.194954683352659,2.385546140246302
0.31,9.96859924633458,2.2448393349691083
0.32,9.200889509551146,2.1751249572434346
0.33,9.97712276088378,2.159379879875073
0.34,8.873296141843538,2.091657072945828
0.35000000000000003,9.627496867940524,2.1813117124033186
0.36,9.809548116731555,2.306802180901014
0.37,9.717996111345773,1.995332106577761
0.38,8.78844031823083,2.0705051299307513
0.39,10.012933765487677,2.072625559132652
0.4,9.96661984953256,1.8521635195074946
0.41000000000000003,10.021564858780366,1.6391045876215955
0.42,9.157819918380362,1.596254656041408
0.43,10.22191668226104,1.9595745981471562
0.44,10.206611182757664,2.0915168548933196
0.45,9.425125669543275,1.8284247882921485
0.46,9.844564962619117,1.6398527902530977
0.47000000000000003,10.41753701919834,1.6572694526633898
0.48,9.649033523310745,1.8042749091302732
0.49,9.968131268119874,1.6347955020188296
0.5,10.608788815704017,1.5743356332180216
0.51,10.136637654562799,1.6553438841104329
0.52,11.074016625848232,1.306614698382675
0.53,11.152019640438597,1.6940266817009884
0.54,10.683936675927788,1.6014183312958392
0.55,10.012627000196149,1.5420548600883814
0.56,11.09661409307956,1.4730069964148649
0.5700000000000001,9.99689557588492,1.3771899341152674
0.58,10.129856246647845,1.1996091348106457
0.59,10.334472857303865,1.5026493826001108
0.6,11.574708647728421,1.3199249562630448
0.61,11.450492240541562,1.2326361265811623
0.62,10.859537231842095,1.4968911740151762
0.63,12.081806808095255,1.4764546117585888
0.64,10.090443729253147,1.1858805985478251
0.65,11.365370336936438,1.2626608011411968
0.66,10.928030435020222,1.6374043887494656
0.67,10.577292814940122,1.1775383215356885
0.68,11.093953414108329,1.1048511574332156
0.6900000000000001,11.589953027303112,1.0272232328417295
0.7000000000000001,11.743441390581115,0.8508315878219933
0.71,11.318226238833658,1.1518025916208878
0.72,11.268580503843044,1.141235171159967
0.73,11.679749808322612,0.8664437429802118
0.74,12.051569272402231,0.9240494577450532
0.75,12.920525781897739,1.0439162055267412
0.76,12.983376244929362,0.8652553839881717
0.77,12.843257905548482,0.994282791024144
0.78,12.77398427697622,0.8944803396928157
0.79,13.07720694477981,1.2988555145421348
0.8,12.324757469552255,0.8070210745560947
0.81,13.697591509017732,0.748376115336428
0.8200000000000001,12.791625284825889,0.8079069592375749
0.8300000000000001,12.275594121831702,0.8250051205160439
0.84,13.018195147398615,0.5226024918324228
0.85,13.682712440230205,0.8854345918767305
0.86,12.138207497716092,0.8566808749509995
0.87,14.394871993970304,0.6833467767515038
0.88,13.582046146243092,1.1006849759556836
0.89,12.61225258312302,1.0196967929517644
0.9,14.640651669001475,1.050163624266527
0.91,13.360542375545679,0.9170456058329506
0.92,13.96196706441375,1.0281714169012892
0.93,14.68830678512776,0.7042095502103572
0.9400000000000001,14.281600163950788,0.6106281975326958
0.9500000000000001,14.25968988598443,0.698457720992095
0.96,14.570790627979191,0.6938829351848224
0.97,14.340908683604843,0.7347803645748766
0.98,14.62234200481011,0.7042473772560487
0.99,14.605435201528238,0.9233813796032386
1.0,15.657827161823548,0.8824087851738744
1.01,14.773069650906491,0.7194593594294149
1.02,15.244442992858442,0.6803921653607455
1.03,15.765273118119273,0.7983607294558259
1.04,15.311749028348196,0.8550982075753655
1.05,16.415351813626334,0.8377751253686505
1.06,15.701736633375175,0.6748822397760909
1.07,16.155496063325863,0.5134287788483592
1.08,15.930883441686595,0.6140856398771647
1.09,15.998071473541433,0.390936918830543
1.1,16.4995435881688,0.594969035232209
1.11,17.16544538570017,0.8560891338744914
1.12,16.37801984111226,0.6324257143371425
1.1300000000000001,17.38158542540711,0.4209331932751156
1.1400000000000001,17.093768115003012,0.5864352715934786
1.1500000000000001,17.32061662859403,0.6842287759380851
1.16,18.351534101967008,0.8732096888290888
1.17,17.71453242866016,0.4922130748207592
1.18,18.403085915653666,0.5126685953595627
1.19,18.1133462692499,0.6634716479894008
1.2,17.934744239730488,0.7760009040889501
1.21,18.355440002662192,0.5853414499129503
1.22,18.41790494205574,0.5724556610505024
1.23,18.505770573853376,0.22883937307428465
1.24,18.78311637109002,0.5879020226634969
