t,x,y,dx,dy
0.0,10.0,5.0,-4.839122468264989,-9.912652345689299
0.01,9.95160877531735,4.900873476543107,-4.681430951445805,-9.825633850393046
0.02,9.906371380971084,4.803487322992139,-4.370665907784371,-9.652143257062448
0.03,9.864195457161662,4.7078306114018575,-4.068928999541413,-9.479810332517559
0.04,9.824992800980255,4.6138911163417875,-3.775817882795536,-9.308760997714671
0.05,9.788679099505751,4.521655391447564,-3.490946818915802,-9.139112620461816
0.06,9.755173864601938,4.431108863932551,-3.21395277435289,-8.970969330093084
0.07,9.724400044018694,4.342236004845702,-2.9444917078955655,-8.804424919183845
0.08,9.696284030444026,4.255020365548874,-2.6822286627867697,-8.639566257580498
0.09,9.670755470762959,4.1694446796940925,-2.4268464759656467,-8.476470481825032
0.1,9.647747100924713,4.085490955912373,-2.178037990112955,-8.31520905208825
0.11,9.6271947109607,4.003140498652328,-1.9355086310357592,-8.155846459224875
0.12,9.609036928303999,3.922374026727876,-1.6989854429415345,-7.998435124228621
0.13,9.59321500210187,3.843171796167755,-1.468207779503473,-7.843020764766607
0.14,9.579672772713929,3.7655136114325436,-1.2429159077261716,-7.689649584303083
0.15,9.568356683947346,3.6893788044816938,-1.0228646432446453,-7.538359932358986
0.16,9.559215479849035,3.614746412785364,-0.8078234117487568,-7.389182255390125
0.17,9.552200215712372,3.541595159373891,-0.5975690946063992,-7.242143560605598
0.18,9.547264097956909,3.4699035415732524,-0.39188921067676574,-7.097265639948034
0.19,9.544362431498836,3.3996498465749303,-0.19057975003681804,-6.954566405046307
0.2,9.543452502956173,3.330812213472326,0.006553956225729962,-6.81405927005855
0.21,9.54449351062335,3.2633686611737596,0.19969893863776633,-6.6757544050194895
0.22,9.547446481728928,3.197297125371936,0.3890338025355504,-6.539658119615211
0.23,9.552274186674062,3.1325754987814554,0.5747300810660931,-6.405773773404917
0.24,9.55894108335025,3.0691816499038382,0.7569514193363034,-6.274101275283982
0.25,9.567413215060787,3.0070934732757757,0.935853991866793,-6.144637339345479
0.26,9.577658163187586,2.9462889031169284,1.1115890996366602,-6.017377230452325
0.27,9.58964499705352,2.8867459286667287,1.2843024131699394,-5.892314310439588
0.28,9.603344211450985,2.828442616908137,1.4541326275302708,-5.769439010754354
0.29,9.618727649604125,2.7713571484516413,1.6212110576337864,-5.648738423645767
0.3,9.635768432603662,2.715467848435222,1.7856651257480962,-5.530198890753127
0.31,9.654440952119087,2.6607531706365783,1.9476180536054244,-5.41380578030379
0.32,9.674720793675771,2.607191732829146,2.1071865507500434,-5.2995417620713
0.33,9.696584683134088,2.5547623353951523,2.264483269349853,-5.187388539961134
0.34,9.720010459062769,2.503443962029923,2.4196168148417314,-5.077326803005462
0.35000000000000003,9.744977019430923,2.453215799335043,2.5726910103030036,-4.9693356688867
0.36,9.771464279268827,2.404057248652189,2.7238058780080223,-4.86339340764242
0.37,9.799453136991085,2.3559479311821954,2.87305763943624,-4.759477389796473
0.38,9.828925432057552,2.3088677008562595,3.020538590988508,-4.657563928223652
0.39,9.859863908810855,2.2627966526177223,3.166337729052941,-4.557628741584878
0.4,9.892252186638611,2.217715126024562,3.3105407095630994,-4.4596469031527874
0.41000000000000003,9.926074723002117,2.1736037145546665,3.4532297796089324,-4.363592749223258
0.42,9.961316782230789,2.1304432710400967,3.5944843310128363,-4.269440240520524
0.43,9.997964409622375,2.0882149097442566,3.73438078694096,-4.177162846658746
0.44,10.036004397969608,2.046900014106922,3.8729926362514107,-4.086733549452205
0.45,10.075424262347402,2.0064802387552123,4.010391038783098,-3.9981252562356673
0.46,10.11621221874527,1.9669375089822083,4.146644841352213,-3.9113107782314387
0.47000000000000003,10.158357159174447,1.9282540231905834,4.281819902044788,-3.826262296864172
0.48,10.201848616786164,1.890412263044925,4.415979546579706,-3.742951669333337
0.49,10.24667675010604,1.8533949898039168,4.549185534528704,-3.6613511109980834
0.5,10.292832327476738,1.8171852408249634,4.681497705598304,-3.581432902782396
0.51,10.340306704218007,1.7817663317482686,4.812973292022207,-3.5031688854633813
0.52,10.389091793317181,1.7471218631156957,4.943667516405526,-3.42653085085378
0.53,10.439180054546117,1.713235714731193,5.073634303363974,-3.351491000375134
0.54,10.490564479384462,1.680092043108193,5.202925887523747,-3.278021654613525
0.55,10.543238572296593,1.6476752816389224,5.331592322090387,-3.206094892160934
0.56,10.59719632582627,1.6159701452649742,5.459682051608979,-3.1356829164866724
0.5700000000000001,10.652432213328773,1.584961623309189,5.587242456290028,-3.066758404017918
0.58,10.708941174952068,1.554634977184616,5.714319433143714,-2.9992941940013793
0.59,10.766718601991647,1.524975739429162,5.840957068558396,-2.9332630532372406
0.6,10.825760316323235,1.495969716119871,5.967198161087708,-2.8686379969733196
0.61,10.8860625652134,1.4676029794896959,6.09308461346086,-2.8053925224217124
0.62,10.947622008592452,1.4398618656714368,6.218657033028649,-2.7435003293681746
0.63,11.010435705873974,1.4127329729023324,6.343954524659807,-2.68293517600911
0.64,11.07450109908565,1.3862031621512545,6.469015158254365,-2.6236711483296062
0.65,11.139816009039063,1.3602595499357402,6.593876245573028,-2.5656828110723637
0.66,11.206378623997109,1.3348895059298072,6.718573969852741,-2.5089449632145318
0.67,11.274187488436116,1.3100806506714493,6.84314327612185,-2.4534325566337714
0.68,11.343241489519546,1.2858208547971317,6.967618274070219,-2.399120918215594
0.6900000000000001,11.413539853917522,1.2620982323071375,7.092032420533769,-2.3459858406498384
0.7000000000000001,11.485082137930222,1.238901137984135,7.216418174677074,-2.2940033644617515
0.71,11.557868217411063,1.2162181650179027,7.34080695049397,-2.2431497397433375
0.72,11.631898276940102,1.1940381431892686,7.465229549111996,-2.1934016499668942
0.73,11.707172808393302,1.1723501320185648,7.589716256880365,-2.1447362507996175
0.74,11.783692602077709,1.1511434181732763,7.714296583997452,-2.0971310105826646
0.75,11.861458740073251,1.1304075118069115,7.838999011452984,-2.050563561008353
0.76,11.94047258230677,1.1101321469531091,7.963851265250469,-2.0050118300406226
0.77,12.020735765378262,1.090307275206099,8.088880836056205,-1.9604543067967626
0.78,12.102250199027894,1.0709230608171738,8.214114666363571,-1.9168698585709194
0.79,12.185018058705534,1.0519698780346805,8.339578989385132,-1.874237635886324
0.8,12.269041778815597,1.0334383080994474,8.465299205535416,-1.8325370113471848
0.81,12.354324042816241,1.0153191378077369,8.591300311882833,-1.7917477657900989
0.8200000000000001,12.440867785053253,0.9976033527836454,8.717607063860328,-1.751850151038191
0.8300000000000001,12.528676184093449,0.980282134786973,8.844243649649343,-1.7128247280839517
0.84,12.617752658046237,0.9633468582219664,8.971233610967715,-1.6746523222650183
0.85,12.708100856312804,0.9467890883416729,9.098599933952755,-1.6373140526149825
0.86,12.799724656725292,0.9306005771696668,9.226365393246283,-1.600791473506483
0.87,12.892628164177728,0.9147732588715431,9.354552432187916,-1.565066510140909
0.88,12.98681570536905,0.8992992469668486,9.483183018780664,-1.5301213859355514
0.89,13.082291824553343,0.8841708311528321,9.612278545911977,-1.4959385812882715
0.9,13.17906127628729,0.8693804753410831,9.741860094917797,-1.4625009222508112
0.91,13.277129026451698,0.8549208127078158,9.871948590570923,-1.4297916287709
0.92,13.37650024809871,0.8407846427656651,10.002564580675312,-1.397794223146171
0.93,13.477180318065205,0.8269649282448924,10.133728191619412,-1.3664925109273085
0.9400000000000001,13.579174811931098,0.8134547925471189,10.265459134389744,-1.3358705756748606
0.9500000000000001,13.682489500753,0.8002475167313952,10.397776949626746,-1.3059128466317418
0.96,13.787130350923631,0.7873365356144841,10.53070097798809,-1.2766040813460293
0.97,13.893103520312762,0.7747154351044748,10.664250228939181,-1.2479293176627166
0.98,14.000415355502415,0.7623779492612298,10.798443319158196,-1.2198738542278633
0.99,14.109072386695926,0.7503179580199175,10.933298620878418,-1.1924232808437267
1.0,14.219081327919984,0.7385294836443552,11.06883439237663,-1.1655635042939139
1.01,14.33044907454346,0.7270066879340392,11.205068641350522,-1.1392807063918085
1.02,14.443182700746993,0.715743869516519,11.342019064786314,-1.1135613275681848
1.03,14.557289455839186,0.7047354613826755,11.479703023216302,-1.0883920573062866
1.04,14.67277676121132,0.6939760283703933,11.618137807232756,-1.063759875683644
1.05,14.78965221198384,0.6834602638690027,11.757340619563024,-1.0396520438525485
1.06,14.90792357360258,0.6731829874933423,11.897328406608494,-1.0160560674965566
1.07,15.02759878011601,0.6631391425190715,12.038117949829825,-0.992959706933874
1.08,15.148685932599177,0.6533237933546648,12.179725701141592,-0.9703509470867715
1.09,15.271193294138842,0.643732123577336,12.322167616312072,-0.9482179671131661
1.1,15.395129284925419,0.6343594340124015,12.465459779185835,-0.9265492261283157
1.11,15.52050248972256,0.6252011390547697,12.609618379334847,-0.90533345401197
1.12,15.647321652512117,0.6162527649321621,12.754659260717517,-0.8845595792408858
1.1300000000000001,15.77559567493691,0.607509947469952,12.900598121701364,-0.8642167523392175
1.1400000000000001,15.905333614946143,0.5989684298853777,13.047450403980406,-0.8442943355937516
1.1500000000000001,16.03654468301652,0.5906240607580769,13.195231131117225,-0.8247818896125914
1.16,16.169238237568482,0.582472792093126,13.343955401605058,-0.8056691937617764
1.17,16.30342379104862,0.5745106768828416,13.493638401569228,-0.7869462417383453
1.18,16.439111005599866,0.5667338672583591,13.644295029530895,-0.7686032170641006
1.19,16.57630969163924,0.5591386125415596,13.795940051898128,-0.7506304960494248
1.2,16.71502980663783,0.5517212573373705,13.948588017899397,-0.7330186440272826
1.21,16.855281451997225,0.5444782396610139,14.102253093057016,-0.7157584117044635
1.22,16.99707486849897,0.5374060891032812,14.256949489818908,-0.6988407276568829
1.23,17.140420441793605,0.5305014251078762,14.412691503787869,-0.6822566933715564
1.24,17.285328698574727,0.5237609552358501,14.490825678112161,-0.6740469872026139
