t,x,y
0.0,10.0879109421603,5.217502412532571
0.01,9.986994976306233,4.945010521340517
0.02,9.913109321161299,4.878905371130941
0.03,9.84113159554534,4.6687639137891885
0.04,9.82129145849955,4.620442225844362
0.05,9.74818984735426,4.679505660690172
0.06,9.627939269534666,4.345860588341087
0.07,9.634672188812935,4.445882652274201
0.08,9.556089127653038,4.184093763621855
0.09,9.560448353048113,3.9836760689245763
0.1,9.493608343547756,3.9973702125662958
0.11,9.457028227258801,3.9607993503067593
0.12,9.467909316166887,3.7649896391387965
0.13,9.43496284355912,3.762757774306308
0.14,9.392914148027502,3.5501452717489816
0.15,9.420644536530851,3.424998315966392
0.16,9.365046180229077,3.5406106181349086
0.17,9.272013626030507,3.300460540195452
0.18,9.2811423523876,3.266533078534544
0.19,9.34793529055127,3.135517778218239
0.2,9.328507452463224,3.2042853568998906
0.21,9.305503981739758,3.024508285325225
0.22,9.299335268333294,3.0333229549677903
0.23,9.32758189674099,3.05954411675459
0.24,9.379821535385265,2.700863791043336
0.25,9.361131015596598,2.7923664944976627
0.26,9.374424161858297,2.7414780857522745
0.27,9.380082583399208,2.737416857172603
0.28,9.424813346372037,2.6171813833330746
0.29,9.411464031423707,2.6314417601102464
0.3,9.41142933640844,2.5570525157335933
0.31,9.49635027213143,2.3056852194857553
0.32,9.520813219036384,2.5792567081352655
0.33,9.540637706344645,2.217088516375466
0.34,9.578841157349437,2.286109663697401
0.35000000000000003,9.660682958660754,2.152399599168537
0.36,9.676210910315557,2.1412857656963165
0.37,9.724351701095332,2.112707318338054
0.38,9.702858416169072,2.096266346481917
0.39,9.809432897731835,1.9513149585896288
0.4,9.763631149279789,1.8292032798034692
0.41000000000000003,9.874369267388019,1.9505261713961586
0.42,9.910112119849211,1.9379474509511534
0.43,9.96356759614249,1.6484994687370893
0.44,10.046956992644105,1.6772429979155241
0.45,10.130118180692023,1.8191915498678295
0.46,10.140368116949423,1.601196520030953
0.47000000000000003,10.220292287715706,1.7442011103162913
0.48,10.281829608084601,1.57492828673124
0.49,10.375286880776363,1.6200654045601748
