t,x,y
0.0,9.598012376577996,4.366700011441985
0.01,9.584307600459669,4.351398389467127
0.02,9.534342242218838,4.071513291979027
0.03,9.435825381258326,4.085676717658504
0.04,9.502226503442676,3.941087467813508
0.05,9.417968059107011,3.8303440247600578
0.06,9.405171780685418,3.6481716407125875
0.07,9.393896743447064,3.7367551450982286
0.08,9.359867119022724,3.8707090217822615
0.09,9.276476437065295,3.5621966193802814
0.1,9.26663348256235,3.598093670590084
0.11,9.305091255097452,3.5262164701290404
0.12,9.293168562264627,3.4095875222514227
0.13,9.235035476725255,3.2994511024058033
0.14,9.25529107718599,3.2916611277453445
0.15,9.241212324889515,3.3148807533191644
0.16,9.19542216463853,3.0846282108501413
0.17,9.247728208827612,3.08509732176338
0.18,9.261389638151842,2.978546904212892
0.19,9.248171849461874,2.9075400035340606
