t,x,y
0.0,8.9,6.1
0.01,8.77124266413244,5.988799297946279
0.02,8.648078672515876,5.878737234050395
0.03,8.530285228245653,5.769863798637966
0.04,8.417649486890697,5.662223923675405
0.05,8.309968274169806,5.555857741868636
0.06,8.207047503809441,5.450800963696985
0.07,8.108701923088713,5.347085081882476
0.08,8.014754699615883,5.244737649015074
0.09,7.9250372638741595,5.143782387064663
0.1,7.839388646283089,5.044239627462059
0.11,7.757655096862486,4.9461265784655115
0.12,7.67969010917707,4.84945726605627
0.13,7.605353877598796,4.754242907981231
0.14,7.534513027909935,4.660492076314062
0.15,7.467040312331854,4.568210890385911
0.16,7.4028143380211056,4.477403177670025
0.17,7.341719289475028,4.388070642545177
0.18,7.283644665309917,4.300213023559244
0.19,7.2284850458545655,4.213828224128011
0.2,7.176139834224188,4.1289124696098884
0.21,7.126513057094536,4.04546041486741
0.22,7.0795130823382735,3.9634653150872743
0.23,7.035052472636005,3.882919097256273
0.24,6.993047800991683,3.803812456813351
0.25,6.953419462363734,3.7261349563152413
0.26,6.916091411975208,3.649875194864906
0.27,6.880991054597356,3.575020846872062
0.28,6.848049105547197,3.5015587265286827
0.29,6.817199377271214,3.429474915318235
0.3,6.788378670405575,3.358754805237193
0.31,6.761526631132452,3.289383170643428
0.32,6.736585601147952,3.2213442482985193
0.33,6.713500507583187,3.154621783817039
0.34,6.692218737031808,3.0891990939634923
0.35000000000000003,6.672690013279036,3.0250591273114256
0.36,6.654866302468093,2.9621845023761963
0.37,6.638701699902704,2.90055756151237
0.38,6.624152329908641,2.840160415482051
0.39,6.611176262781053,2.7809749765940968
