t,x,y
0.0,10.043566583910653,4.95372330446643
0.01,9.939541674068797,4.471658498243831
0.02,9.906165069260227,4.751782046826564
0.03,9.850831802997464,4.758851831229133
0.04,9.835478205905162,4.44151348813257
0.05,9.76660911733676,4.444698201356083
0.06,9.772348988673262,4.521890306973787
0.07,9.691888034786407,4.161143708771085
0.08,9.71463345513938,4.509741581423108
0.09,9.669981609389296,4.058886703776623
0.1,9.675031512500825,4.035412186002584
0.11,9.645268082310942,4.253726597777477
0.12,9.624727774605395,3.9342626851834552
0.13,9.611450718997643,3.739225369472689
0.14,9.575237727277786,3.6726676571078616
0.15,9.563267135684772,3.610680759308395
0.16,9.554589126249427,3.553188810027472
0.17,9.554416021313921,3.5518950273190057
0.18,9.554644015165762,3.6968232883584626
0.19,9.505840990355741,3.6092360271785107
0.2,9.537544266973596,3.1314613106273943
0.21,9.540199749786197,3.2782249270996
0.22,9.574031836582863,3.0255614681187835
0.23,9.557686798224896,3.1516346109365987
0.24,9.517001754026193,2.8773675465014357
0.25,9.582357525288337,3.1196121466854647
0.26,9.60474537232658,3.032642754333406
0.27,9.599486942042159,2.9066216363027295
0.28,9.633454409161768,2.6920637426048706
0.29,9.615194080853948,2.833694091539061
0.3,9.596484170746987,2.9275330918348317
0.31,9.634696274491503,2.6491466025972965
0.32,9.728428349019428,2.473017533883459
0.33,9.683401758010074,2.8073918640434696
0.34,9.693110446267857,2.4335520145277476
0.35000000000000003,9.75782903439687,2.5268825801152683
0.36,9.786248817084015,2.463992331710928
0.37,9.832957019815183,2.520292157695195
0.38,9.843749621622148,2.198414065378081
0.39,9.842094161582944,1.9541015464962541
